game,market,player,line,odds_over,odds_under
phoenix-suns-at-minnesota-timberwolves,points ou,Julius Randle,23.5,-110,-120
phoenix-suns-at-minnesota-timberwolves,points ou,Dillon Brooks,21.5,-125,-105
phoenix-suns-at-minnesota-timberwolves,points ou,Grayson Allen,17.5,-125,-105
phoenix-suns-at-minnesota-timberwolves,points ou,Collin Gillespie,16.5,-135,100
phoenix-suns-at-minnesota-timberwolves,points ou,Naz Reid,15.5,-130,-105
phoenix-suns-at-minnesota-timberwolves,points ou,Jaden McDaniels,15.5,-110,-120
phoenix-suns-at-minnesota-timberwolves,points ou,Donte DiVincenzo,13.5,-135,100
phoenix-suns-at-minnesota-timberwolves,points ou,Mark Williams,12.5,100,-135
phoenix-suns-at-minnesota-timberwolves,points ou,Rudy Gobert,10.5,-130,100
phoenix-suns-at-minnesota-timberwolves,points ou,Royce O’Neale,9.5,-125,-105
phoenix-suns-at-minnesota-timberwolves,points ou,Ryan Dunn,7.5,100,-135
phoenix-suns-at-minnesota-timberwolves,points ou,Oso Ighodaro,4.5,-120,-110
sacramento-kings-at-indiana-pacers,points ou,Pascal Siakam,24.5,-105,-130
sacramento-kings-at-indiana-pacers,points ou,Zach LaVine,21.5,-110,-120
sacramento-kings-at-indiana-pacers,points ou,Bennedict Mathurin,21.5,-120,-110
sacramento-kings-at-indiana-pacers,points ou,Demar DeRozan,19.5,-105,-130
sacramento-kings-at-indiana-pacers,points ou,Andrew Nembhard,16.5,-120,-110
sacramento-kings-at-indiana-pacers,points ou,Keegan Murray,15.5,-130,100
sacramento-kings-at-indiana-pacers,points ou,Russell Westbrook,13.5,-120,-110
sacramento-kings-at-indiana-pacers,points ou,Malik Monk,13.5,-105,-125
sacramento-kings-at-indiana-pacers,points ou,Maxime Raynaud,11.5,-118,-110
sacramento-kings-at-indiana-pacers,points ou,Jay Huff,11.5,-105,-130
sacramento-kings-at-indiana-pacers,points ou,T.J. McConnell,9.5,-110,-118
sacramento-kings-at-indiana-pacers,points ou,Jarace Walker,8.5,115,-155
san-antonio-spurs-at-new-orleans-pelicans,points ou,De'Aaron Fox,24.5,-110,-118
san-antonio-spurs-at-new-orleans-pelicans,points ou,Trey Murphy III,21.5,-120,-110
san-antonio-spurs-at-new-orleans-pelicans,points ou,Saddiq Bey,16.5,-125,-110
san-antonio-spurs-at-new-orleans-pelicans,points ou,Jeremiah Fears,16.5,-115,-115
san-antonio-spurs-at-new-orleans-pelicans,points ou,Devin Vassell,15.5,-125,-110
san-antonio-spurs-at-new-orleans-pelicans,points ou,Dylan Harper,13.5,100,-130
san-antonio-spurs-at-new-orleans-pelicans,points ou,Stephon Castle,13.5,-130,100
san-antonio-spurs-at-new-orleans-pelicans,points ou,Harrison Barnes,12.5,-105,-130
san-antonio-spurs-at-new-orleans-pelicans,points ou,Derik Queen,12.5,-120,-110
san-antonio-spurs-at-new-orleans-pelicans,points ou,Keldon Johnson,12.5,-115,-115
san-antonio-spurs-at-new-orleans-pelicans,points ou,Herbert Jones,8.5,100,-135
san-antonio-spurs-at-new-orleans-pelicans,points ou,Jose Alvarado,8.5,-115,-115
san-antonio-spurs-at-new-orleans-pelicans,points ou,Julian Champagnie,8.5,-150,110
san-antonio-spurs-at-new-orleans-pelicans,points ou,Luke Kornet,7.5,-145,110
san-antonio-spurs-at-new-orleans-pelicans,points ou,Jordan Hawkins,6.5,-110,-118
san-antonio-spurs-at-new-orleans-pelicans,points ou,Yves Missi,6.5,115,-150
san-antonio-spurs-at-new-orleans-pelicans,points ou,Jeremy Sochan,6.5,-115,-115
san-antonio-spurs-at-new-orleans-pelicans,points ou,Micah Peavy,4.5,-135,100
